"KMeans","Age","Height","Sets Per Match","Receives Per Match","Serves Per Match","Blocks Per Match","Digs Per Match","Attacks Per Match","n"
"1",28.1666666666667,191.3,18.063,0.004,0.367,0.405666666666667,2.14833333333333,0.52,30
"2",26.6190476190476,200.369047619048,0.145714285714286,1.82571428571429,0.756904761904762,1.10619047619048,2.6227380952381,8.47285714285714,84
"3",25.4278350515464,198.335051546392,0.448762886597938,0.357989690721649,0.121494845360825,0.371958762886598,0.719175257731959,1.62128865979381,194
"4",27.6129032258065,183.129032258065,0.186451612903226,3.95,0.057741935483871,0.0241935483870968,4.86741935483871,0.840967741935484,31
