"","LIBERO","MIDDLE BLOCKER","OPPOSITE SPIKER","OUTSIDE HITTER","SETTER"
"1",0,0,0,0,1
"2",0.0238095238095238,0.226190476190476,0.285714285714286,0.464285714285714,0
"3",0.0876288659793814,0.381443298969072,0.149484536082474,0.283505154639175,0.0979381443298969
"4",0.870967741935484,0,0,0.129032258064516,0
