Player Name,Team,Position,Age,Height,Setting Errors,Sets Per Match,Successful Receives,Receiving Errors,Receives Per Match,Aces,Service Errors,Service Attempts,Serves Per Match,Blocks,Blocking Errors,Blocks Per Match,Defensive Errors,Defensive Receptions,Digs Per Match,Kills,Attacking Errors,Attacking Attempts,Attacks Per Match
A. Lagumdzija,TUR,OPPOSITE SPIKER,26,211cm,0,0.25,1,1,0.25,5,19,42,1.25,4,13,1.0,14,5,6.25,60,18,65,15.0
A. Nikolov,BUL,OUTSIDE HITTER,21,207cm,1,0.5,46,19,3.83,16,46,100,1.33,15,26,1.25,17,31,5.08,177,54,124,14.75
Adamczyk,POL,MIDDLE BLOCKER,26,208cm,0,0.0,0,0,0.0,1,5,23,0.25,3,6,0.75,4,4,0.5,11,1,8,2.75
Adriano,BRA,OUTSIDE HITTER,23,201cm,0,0.0,9,2,0.6,4,7,41,0.27,1,1,0.07,6,4,0.6,12,10,21,0.8
Ahyi,NED,OPPOSITE SPIKER,27,200cm,0,0.17,0,0,0.0,3,42,70,0.25,14,28,1.17,36,29,2.75,161,53,115,13.42
Alan,BRA,OPPOSITE SPIKER,31,202cm,0,0.18,1,1,0.09,8,23,121,0.73,20,27,1.82,16,23,3.91,159,40,104,14.45
Alexandre,BRA,LIBERO,27,190cm,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0
Alonso,CUB,MIDDLE BLOCKER,28,202cm,0,0.08,2,3,0.15,0,5,62,0.0,13,27,1.0,4,7,0.54,26,5,19,2.0
Amin,IRI,OPPOSITE SPIKER,28,203cm,1,0.5,1,2,0.1,11,22,104,1.1,8,27,0.8,20,15,4.4,139,40,102,13.9
Antov,BUL,OPPOSITE SPIKER,21,196cm,0,0.08,0,1,0.0,7,39,69,0.58,5,23,0.42,18,19,2.33,100,35,72,8.33
Anzani,ITA,MIDDLE BLOCKER,33,204cm,0,0.09,2,1,0.18,2,9,112,0.18,19,41,1.73,5,14,1.27,35,7,20,3.18
Ariakhah,IRI,OPPOSITE SPIKER,19,205cm,0,0.0,0,0,0.0,0,3,3,0.0,1,0,0.25,0,0,0.25,6,2,3,1.5
Arman,IRI,LIBERO,32,180cm,0,0.17,42,4,3.5,0,0,0,0.0,0,0,0.0,15,17,3.67,0,0,0,0.0
Armoa Morel,ARG,OUTSIDE HITTER,22,195cm,0,0.12,15,4,1.88,0,9,27,0.0,4,7,0.5,10,3,0.88,17,8,15,2.12
Arshia,IRI,SETTER,22,194cm,6,22.17,0,2,0.0,1,21,83,0.08,5,24,0.42,20,15,3.08,5,2,10,0.42
